title,museum,era,material,size
Portrait,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Portrait,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Portrait,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
Portrait,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
题词,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Portrait,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
Portrait,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
团体肖像,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
场景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
房间景观,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Höhlen-Panorama,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
洞穴视图,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,Plattengröße (Foto): 13 x 18 cm
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,Staatliche Museen zu Berlin,1904-1905,,Plattengröße (Foto): 13 x 18 cm
Gebäude,Staatliche Museen zu Berlin,1904-1905,,Plattengröße (Foto): 13 x 18 cm
建筑,Staatliche Museen zu Berlin,1904-1905,,盘子尺寸（照片）：13 x 18厘米
外部洞穴视图,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,Staatliche Museen zu Berlin,1913-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1904-1905,,Plattengröße (Foto): 13 x 18 cm
洞穴全景,Staatliche Museen zu Berlin,1904-1905,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Gebäude,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Gruppenportrait,柏林州立博物馆,1904-1905,,
团体肖像,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴的视图和壁画,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
粘土塑料和壁画,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
与建筑物的洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Panorama,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Panorama,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Panorama,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
街景,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Gebäude und Lehmplastik,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Höhlen-Panorama,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
全景与建筑,柏林州立博物馆,1902-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑物和粘土塑料,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
Gebäude,柏林州立博物馆,1902-1903,,Plattengröße (Foto): 13 x 18 cm
建筑,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
Gebäude,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1903,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1903,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,Staatliche Museen zu Berlin,1902-1903,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Wandmalerei,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1906-1907,,Plattengröße (Foto): 13 x 18 cm
壁画,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
壁画 - 损失,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
壁画,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Portrait Albert von Le Coq,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
Portrait Theodor Bartus,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Portrait Theodor Bartus,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
团体肖像,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴视图，肖像,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Portrait,柏林州立博物馆,1904-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景和废墟场,柏林州立博物馆,1904-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld和带有墙壁绘画的建筑物,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
"Panorama, Person",柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
全景与建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Höhlen-Panorama,柏林州立博物馆,1913-1914,,Plattengröße (Foto): 13 x 18 cm
äußere Höhlenansicht,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
洞穴全景,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Gebäude,Staatliche Museen zu Berlin,1904-1905,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
Gebäude und Tiere,柏林州立博物馆,1904,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
全景与建筑,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Gebäude und Person,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,Passepartout: 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴的视图和壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴的视图和壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑绘画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑绘画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
与人的洞穴全景,柏林州立博物馆,1904-1905,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Höhlen-Panorama,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,Staatliche Museen zu Berlin,1913-1914,,Objektmaß: 13 x 18 cm
洞穴全景,Staatliche Museen zu Berlin,1913-1914,,物体维度：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1913-1914,,Objektmaß: 13 x 18 cm
Höhlenansicht,Staatliche Museen zu Berlin,1913-1914,,Objektmaß: 13 x 18 cm
洞穴的视图和壁画,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Wandmalerei,Staatliche Museen zu Berlin,1906-1907,,物体维度：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1906-1907,,Objektmaß: 13 x 18 cm
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Wandmalerei,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Wandmalerei,柏林州立博物馆,1906-1907,,Objektmaß: 13 x 18 cm
壁画,Staatliche Museen zu Berlin,1906-1907,,Objektmaß: 13 x 18 cm
壁画,柏林州立博物馆,1906-1907,,Objektmaß: 13 x 18 cm
壁画,柏林州立博物馆,1906-1907,,Objektmaß: 13 x 18 cm
壁画,Staatliche Museen zu Berlin,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
粘土塑料,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Lehmplastik,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,Staatliche Museen zu Berlin,1906-1907,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴视图,Staatliche Museen zu Berlin,1906-1907,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,Objektmaß: 13 x 18 cm
用墙壁绘画的洞穴视图,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴视图，墙壁绘画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Höhlen-Panorama,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,Objektmaß: 13 x 18 cm
建筑绘画,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
壁画和浮雕,柏林州立博物馆,1902-1914,,Objektmaß: 13 x 18 cm
建筑,Staatliche Museen zu Berlin,1902-1914,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1913-1914,,Objektmaß: 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Ruinenfeld,Staatliche Museen zu Berlin,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld,Staatliche Museen zu Berlin,1913-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1913-1914,,Objektmaß: 13 x 18 cm
建筑,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景和建筑物,Staatliche Museen zu Berlin,1913-1914,,物体维度：13 x 18厘米
题词,柏林州立博物馆,1913-1914,,Objektmaß: 13 x 18 cm
建筑,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景和废墟,Staatliche Museen zu Berlin,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld和Cave Panorama,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld，人,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld，人,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
粘土塑料,柏林州立博物馆,1913,,Objektmaß: 13 x 18 cm
毁灭性和建筑物和人,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
用粘土塑料建造,Staatliche Museen zu Berlin,1913,,物体维度：13 x 18厘米
景观全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
景观全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1906,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1902-1914,,Objektmaß: 13 x 18 cm
壁画,柏林州立博物馆,1906-1907,,Objektmaß: 13 x 18 cm
Höhlen-Panorama,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
墙壁绘画的洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1913-1914,,Objektmaß: 13 x 18 cm
Ruinenfeld,Staatliche Museen zu Berlin,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld,Staatliche Museen zu Berlin,1913-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1913-1914,,Objektmaß: 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1913-1914,,Objektmaß: 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld和Panorama,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,Staatliche Museen zu Berlin,1906-1907,,物体维度：13 x 18厘米
Wandmalerei,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Person und Artefakt,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Höhlen-Panorama,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
人和工件,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴的视图和壁画,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
用墙壁绘画的洞穴视图,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
题词,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
题词,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴视图,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1902-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
