Subject,Predicate,Object
"Konsolenplatte, Chin. 斗 dou",年代,10.-11. Jh.
"Konsolenplatte, Chin. 斗 dou",材料,"Holz, bemalt mit chinesischem Blumendekor"
"Konsolenplatte, Chin. 斗 dou",大小,"Höhe x Breite x Tiefe: 7,8 x 25 x 24 cm"
"Konsolenplatte, Chin. 斗 dou",描述,[SM8HF]
"Konsolenplatte, Chin. 斗 dou",图片链接,https://recherche.smb.museum/images/5845312_300x300.jpg
"Konsolenplatte, Chin. 斗 dou",详情链接,https://id.smb.museum/object/1792936/konsolenplatte-chin--%E6%96%97-dou
Konsolenplatte mit floralem Schnitzwerk,属于,Staatliche Museen zu Berlin
Konsolenplatte mit floralem Schnitzwerk,年代,7.-8. Jh.
Konsolenplatte mit floralem Schnitzwerk,材料,"Holz, geschnitzt"
Konsolenplatte mit floralem Schnitzwerk,大小,"Höhe x Breite x Tiefe: 7,5 x 25 x 24 cm"
Konsolenplatte mit floralem Schnitzwerk,描述,[SM8HF]
Konsolenplatte mit floralem Schnitzwerk,图片链接,https://recherche.smb.museum/images/4109057_300x300.jpg
Konsolenplatte mit floralem Schnitzwerk,详情链接,https://id.smb.museum/object/1792935/konsolenplatte-mit-floralem-schnitzwerk
Holzpaneel mit floralem Schnitzwerk,属于,Staatliche Museen zu Berlin
Holzpaneel mit floralem Schnitzwerk,年代,7.-8. Jh.
Holzpaneel mit floralem Schnitzwerk,材料,"Holz, geschnitzt"
Holzpaneel mit floralem Schnitzwerk,大小,"Höhe x Breite x Tiefe: 25,7 x 9,7 x 2,1 cm"
Holzpaneel mit floralem Schnitzwerk,描述,[SM8HF]
Holzpaneel mit floralem Schnitzwerk,图片链接,https://recherche.smb.museum/images/5844156_300x300.jpg
Holzpaneel mit floralem Schnitzwerk,详情链接,https://id.smb.museum/object/1792873/holzpaneel-mit-floralem-schnitzwerk
Konsolenplatte,属于,Staatliche Museen zu Berlin
Konsolenplatte,年代,7.-8. Jh.
Konsolenplatte,材料,"Holz, geschnitzt"
Konsolenplatte,大小,"Höhe x Breite x Tiefe: 26,5 x 17,7 x 8,5 cm"
Konsolenplatte,描述,[SM8HF]
Konsolenplatte,图片链接,https://recherche.smb.museum/images/4108643_300x300.jpg
Konsolenplatte,详情链接,https://id.smb.museum/object/1792868/konsolenplatte
"Holzpaneel, Schnitzwerk mit Trauben",属于,Staatliche Museen zu Berlin
"Holzpaneel, Schnitzwerk mit Trauben",年代,7.-8. Jh.
"Holzpaneel, Schnitzwerk mit Trauben",材料,"Holz, geschnitzt"
"Holzpaneel, Schnitzwerk mit Trauben",大小,"Höhe x Breite x Tiefe: 30,5 x 18 x 2 cm"
"Holzpaneel, Schnitzwerk mit Trauben",描述,[SM8HF]
"Holzpaneel, Schnitzwerk mit Trauben",图片链接,https://recherche.smb.museum/images/5844153_300x300.jpg
"Holzpaneel, Schnitzwerk mit Trauben",详情链接,https://id.smb.museum/object/1792863/holzpaneel-schnitzwerk-mit-trauben
Borte von einem Wandpaneel,属于,Staatliche Museen zu Berlin
Borte von einem Wandpaneel,年代,7.-8. Jh.
Borte von einem Wandpaneel,材料,"Holz, geschnitzt"
Borte von einem Wandpaneel,大小,Höhe x Breite x Tiefe: 27 x 14 x 4 cm
Borte von einem Wandpaneel,描述,[SM8HF]
Borte von einem Wandpaneel,图片链接,https://recherche.smb.museum/images/5845363_300x300.jpg
Borte von einem Wandpaneel,详情链接,https://id.smb.museum/object/1792861/borte-von-einem-wandpaneel
Holzblock,属于,Staatliche Museen zu Berlin
Holzblock,年代,7.- 8. Jh.
Holzblock,材料,Holz
Holzblock,大小,"Höhe x Breite x Tiefe: 40,8 x 35,5 x 17,5 cm"
Holzblock,描述,[SM8HF]
Holzblock,图片链接,https://recherche.smb.museum/images/4504862_300x300.jpg
Holzblock,详情链接,https://id.smb.museum/object/1792858/holzblock
Keil mit Schnitzwerk,属于,Staatliche Museen zu Berlin
Keil mit Schnitzwerk,年代,7.-8. Jh.
Keil mit Schnitzwerk,材料,"Holz, geschnitzt"
Keil mit Schnitzwerk,大小,"Höhe x Breite x Tiefe: 11,7 x 19 x 7,6 cm"
Keil mit Schnitzwerk,描述,[SM8HF]
Keil mit Schnitzwerk,图片链接,https://recherche.smb.museum/images/5844465_300x300.jpg
Keil mit Schnitzwerk,详情链接,https://id.smb.museum/object/1792856/keil-mit-schnitzwerk
Geschnitzte Borte mit floralem Motiv,属于,Staatliche Museen zu Berlin
Geschnitzte Borte mit floralem Motiv,年代,7.-8. Jh.
Geschnitzte Borte mit floralem Motiv,材料,"Holz, geschnitzt"
Geschnitzte Borte mit floralem Motiv,大小,"Höhe x Breite x Tiefe: 43,4 x 10 x 6 cm"
Geschnitzte Borte mit floralem Motiv,描述,[SM8HF]
Geschnitzte Borte mit floralem Motiv,图片链接,https://recherche.smb.museum/images/5842898_300x300.jpg
Geschnitzte Borte mit floralem Motiv,详情链接,https://id.smb.museum/object/1792855/geschnitzte-borte-mit-floralem-motiv
Kragträger mit floralem Schnitzwerk,属于,Staatliche Museen zu Berlin
Kragträger mit floralem Schnitzwerk,年代,7.-8. Jh.
Kragträger mit floralem Schnitzwerk,材料,"Holz, geschnitzt"
Kragträger mit floralem Schnitzwerk,大小,"Höhe x Breite x Tiefe: 39,9 x 7 x 10,1 cm"
Kragträger mit floralem Schnitzwerk,描述,[SM8HF]
Kragträger mit floralem Schnitzwerk,图片链接,https://recherche.smb.museum/images/5844448_300x300.jpg
Kragträger mit floralem Schnitzwerk,详情链接,https://id.smb.museum/object/1792854/kragtrager-mit-floralem-schnitzwerk
Kragträger mit floralem Schnitzwerk,属于,Staatliche Museen zu Berlin
Kragträger mit floralem Schnitzwerk,年代,7.-8. Jh.
Kragträger mit floralem Schnitzwerk,材料,"Holz, geschnitzt, bemalt mit roter Farbe"
Kragträger mit floralem Schnitzwerk,大小,"Höhe x Breite x Tiefe: 34 x 7,3 x 11 cm"
Kragträger mit floralem Schnitzwerk,描述,[SM8HF]
Kragträger mit floralem Schnitzwerk,图片链接,https://recherche.smb.museum/images/5844458_300x300.jpg
Kragträger mit floralem Schnitzwerk,详情链接,https://id.smb.museum/object/1792851/kragtrager-mit-floralem-schnitzwerk
Konsolenplatte,属于,Staatliche Museen zu Berlin
Konsolenplatte,年代,7.-8. Jh.
Konsolenplatte,材料,"Holz, geschnitzt"
Konsolenplatte,大小,"Höhe x Breite x Tiefe: 7,8 x 18,4 x 17,4 cm"
Konsolenplatte,描述,[SM8HF]
Konsolenplatte,图片链接,https://recherche.smb.museum/images/5844151_300x300.jpg
Konsolenplatte,详情链接,https://id.smb.museum/object/1792845/konsolenplatte
Stück eines Rahmens,属于,Staatliche Museen zu Berlin
Stück eines Rahmens,年代,10.-11. Jh.
Stück eines Rahmens,材料,"Holz, mit Farbresten"
Stück eines Rahmens,大小,"Höhe x Breite x Tiefe: 96,4 x 8,2 x 4,3 cm"
Stück eines Rahmens,描述,[SM8HF]
Stück eines Rahmens,图片链接,https://recherche.smb.museum/images/5845354_300x300.jpg
Stück eines Rahmens,详情链接,https://id.smb.museum/object/1792705/stuck-eines-rahmens
Kapitell,属于,Staatliche Museen zu Berlin
Kapitell,年代,7.-8. Jh.
Kapitell,材料,"Holz, geschnitzt"
Kapitell,大小,"Höhe x Breite x Tiefe: 20 x 30,5 x 32,5 cm"
Kapitell,描述,[SM8HF]
Kapitell,图片链接,https://recherche.smb.museum/images/4108675_300x300.jpg
Kapitell,详情链接,https://id.smb.museum/object/1792459/kapitell
Holzbalken,属于,Staatliche Museen zu Berlin
Holzbalken,年代,10./11. Jh.
Holzbalken,材料,Farbe auf Holz
Holzbalken,大小,"Höhe x Breite x Tiefe: 15 x 92,9 x 9,2 cm"
Holzbalken,描述,[SM8HF]
Holzbalken,图片链接,https://recherche.smb.museum/images/4504299_300x300.jpg
Holzbalken,详情链接,https://id.smb.museum/object/1792451/holzbalken
Teil einer Decken-Kassette?,属于,Staatliche Museen zu Berlin
Teil einer Decken-Kassette?,年代,10./11. Jahrhundert
Teil einer Decken-Kassette?,材料,Farbe auf Holz
Teil einer Decken-Kassette?,大小,"Objektmaß: 8,2 x 86 x 9,3 cm"
Teil einer Decken-Kassette?,描述,[SM8HF]
Teil einer Decken-Kassette?,图片链接,https://recherche.smb.museum/images/4504220_300x300.jpg
Teil einer Decken-Kassette?,详情链接,https://id.smb.museum/object/1792226/teil-einer-decken-kassette
"Konsolenplatte, Chin. 斗 dou",属于,Staatliche Museen zu Berlin
"Konsolenplatte, Chin. 斗 dou",年代,10./11. Jh.
"Konsolenplatte, Chin. 斗 dou",材料,Farbe auf Holz
"Konsolenplatte, Chin. 斗 dou",大小,"Höhe x Breite x Tiefe: 13,6 x 22 x 22 cm"
"Konsolenplatte, Chin. 斗 dou",描述,[SM8HF]
"Konsolenplatte, Chin. 斗 dou",图片链接,https://recherche.smb.museum/images/4503745_300x300.jpg
"Konsolenplatte, Chin. 斗 dou",详情链接,https://id.smb.museum/object/1792219/konsolenplatte-chin--%E6%96%97-dou
"Konsolenplatte, Chin. 斗 dou",属于,Staatliche Museen zu Berlin
"Konsolenplatte, Chin. 斗 dou",年代,10./11. Jh.
"Konsolenplatte, Chin. 斗 dou",材料,Farbe auf Holz
"Konsolenplatte, Chin. 斗 dou",大小,"Höhe x Breite x Tiefe: 15,8 x 161,9 x 18 cm"
"Konsolenplatte, Chin. 斗 dou",描述,[SM8HF]
"Konsolenplatte, Chin. 斗 dou",图片链接,https://recherche.smb.museum/images/4503239_300x300.jpg
"Konsolenplatte, Chin. 斗 dou",详情链接,https://id.smb.museum/object/1792218/konsolenplatte-chin--%E6%96%97-dou
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",属于,Staatliche Museen zu Berlin
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",年代,6.-7. Jh.
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",材料,"Holz, geschnitzt, mit Resten von Malschicht"
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",大小,"Höhe x Breite x Tiefe: 48,5 x 11,1 x 2,4 cm"
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",描述,[SM8HF]
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",图片链接,https://recherche.smb.museum/images/5842376_300x300.jpg
"Bemaltes Brett mit rahmendem Schnitzwerk, u.a. sasanidische Perlenmedaillons",详情链接,https://id.smb.museum/object/1790955/bemaltes-brett-mit-rahmendem-schnitzwerk-u-a--sasanidische-perlenmedaillons
Abguss eines Ritters (Torso),属于,Staatliche Museen zu Berlin
Abguss eines Ritters (Torso),年代,1920er Jahre
Abguss eines Ritters (Torso),材料,Gipsabguss mit Farbanstrich
Abguss eines Ritters (Torso),大小,"Höhe x Breite x Tiefe: 39,8 x 21 x 5,5 cm (mit Kopf)"
Abguss eines Ritters (Torso),描述,[SM8HF]
Abguss eines Ritters (Torso),图片链接,https://recherche.smb.museum/images/5841102_300x300.jpg
Abguss eines Ritters (Torso),详情链接,https://id.smb.museum/object/2459526/abguss-eines-ritters-torso
Abguss einer Ritterfigur,属于,Staatliche Museen zu Berlin
Abguss einer Ritterfigur,年代,1920er Jahre
Abguss einer Ritterfigur,材料,Gipsabguss mit Farbanstrich
Abguss einer Ritterfigur,大小,"Höhe x Breite x Tiefe: 55,6 x 22 x 6,5 cm"
Abguss einer Ritterfigur,描述,[SM8HF]
Abguss einer Ritterfigur,图片链接,https://recherche.smb.museum/images/5840919_300x300.jpg
Abguss einer Ritterfigur,详情链接,https://id.smb.museum/object/2459523/abguss-einer-ritterfigur
Stehender Buddha ohne Kopf,属于,Staatliche Museen zu Berlin
Stehender Buddha ohne Kopf,年代,1920er Jahre
Stehender Buddha ohne Kopf,材料,Gipsabguss mit Farbanstrich
Stehender Buddha ohne Kopf,大小,"Höhe x Breite x Tiefe: 61 x 22,5 x 7 cm"
Stehender Buddha ohne Kopf,描述,[SM8HF]
Stehender Buddha ohne Kopf,图片链接,https://recherche.smb.museum/images/5841611_300x300.jpg
Stehender Buddha ohne Kopf,详情链接,https://id.smb.museum/object/2459462/stehender-buddha-ohne-kopf
Abguss eines Ritters (Torso),属于,Staatliche Museen zu Berlin
Abguss eines Ritters (Torso),年代,1920er Jahre
Abguss eines Ritters (Torso),材料,Gipsabguss mit Farbanstrich
Abguss eines Ritters (Torso),大小,"Höhe x Breite x Tiefe: 36,1 x 21,2 x 6 cm (mit Sockel)"
Abguss eines Ritters (Torso),描述,[SM8HF]
Abguss eines Ritters (Torso),图片链接,https://recherche.smb.museum/images/5841100_300x300.jpg
Abguss eines Ritters (Torso),详情链接,https://id.smb.museum/object/2458801/abguss-eines-ritters-torso
Mausoleum der Kaiserin Alute,属于,Staatliche Museen zu Berlin
Mausoleum der Kaiserin Alute,年代,"Tongzhi-Periode, vor 1873"
Mausoleum der Kaiserin Alute,材料,Holz; Papier
Mausoleum der Kaiserin Alute,大小,"Objektmaß: 15 x 31 x 49,5 cm"
Mausoleum der Kaiserin Alute,描述,"Modell für das Grab der Hauptfrau Kaiser Tongzhis (1856-1875), Alute (+1875).&nbsp;"
Mausoleum der Kaiserin Alute,图片链接,https://recherche.smb.museum/images/3812058_300x300.jpg
Mausoleum der Kaiserin Alute,详情链接,https://id.smb.museum/object/1723840/mausoleum-der-kaiserin-alute
Weiblicher Kopf,属于,Staatliche Museen zu Berlin
Weiblicher Kopf,年代,10. Jh.
Weiblicher Kopf,材料,"Lehm, bemalt"
Weiblicher Kopf,大小,"Objektmaß: 30,3 x 28,5 x 18 cm"
Weiblicher Kopf,描述,[SM8HF]
Weiblicher Kopf,图片链接,https://recherche.smb.museum/images/4206715_300x300.jpg
Weiblicher Kopf,详情链接,https://id.smb.museum/object/1714986/weiblicher-kopf
Torso mit rotem dhoti,属于,Staatliche Museen zu Berlin
Torso mit rotem dhoti,年代,1. Viertel 5. Jh.
Torso mit rotem dhoti,材料,"Lehm, bemalt"
Torso mit rotem dhoti,大小,Höhe x Breite x Tiefe: 74 x 25 x 20 cm
Torso mit rotem dhoti,描述,[SM8HF]
Torso mit rotem dhoti,图片链接,https://recherche.smb.museum/images/4402240_300x300.jpg
Torso mit rotem dhoti,详情链接,https://id.smb.museum/object/1714936/torso-mit-rotem-dhoti
Sitzender Buddha auf niederen Thron,属于,Staatliche Museen zu Berlin
Sitzender Buddha auf niederen Thron,年代,5. Jh.
Sitzender Buddha auf niederen Thron,材料,"Holz, geschnitzt, mit Spuren von Bemalung"
Sitzender Buddha auf niederen Thron,大小,"Höhe x Breite x Tiefe: 16,8 x 9,8 x 2,5 cm"
Sitzender Buddha auf niederen Thron,描述,[SM8HF]
Sitzender Buddha auf niederen Thron,图片链接,https://recherche.smb.museum/images/4649300_300x300.jpg
Sitzender Buddha auf niederen Thron,详情链接,https://id.smb.museum/object/1714935/sitzender-buddha-auf-niederen-thron
Reliquiar,属于,Staatliche Museen zu Berlin
Reliquiar,年代,5.- 6. Jh.
Reliquiar,材料,Farben auf Holz (Pappel oder Ulme)
Reliquiar,大小,"Höhe x Durchmesser: 25,3 x 25,3 cm"
Reliquiar,描述,[SM8HF]
Reliquiar,图片链接,https://recherche.smb.museum/images/4504297_300x300.jpg
Reliquiar,详情链接,https://id.smb.museum/object/1714916/reliquiar
Meditierender Buddha,属于,Staatliche Museen zu Berlin
Meditierender Buddha,年代,7. Jh.
Meditierender Buddha,材料,"Holz, geschnitzt"
Meditierender Buddha,大小,"Höhe x Breite x Tiefe: 13,5 x 7,5 x 2,2 cm"
Meditierender Buddha,描述,[SM8HF]
Meditierender Buddha,图片链接,https://recherche.smb.museum/images/5838836_300x300.jpg
Meditierender Buddha,详情链接,https://id.smb.museum/object/1714903/meditierender-buddha
Teil eines Kopfes von einem Lokapala,属于,Staatliche Museen zu Berlin
Teil eines Kopfes von einem Lokapala,年代,8./9. Jh. (?)
Teil eines Kopfes von einem Lokapala,材料,"Fragment, Farben auf Seide"
Teil eines Kopfes von einem Lokapala,大小,"Höhe x Breite: 6,3 x 8,4 cm"
Teil eines Kopfes von einem Lokapala,描述,[SM8HF]
Teil eines Kopfes von einem Lokapala,图片链接,https://recherche.smb.museum/images/5178116_300x300.jpg
Teil eines Kopfes von einem Lokapala,详情链接,https://id.smb.museum/object/1714852/teil-eines-kopfes-von-einem-lokapala
Kshitigarbha,属于,Staatliche Museen zu Berlin
Kshitigarbha,年代,8.-9. Jh.
Kshitigarbha,材料,"Holz, geschnitzt, mit Metallbeschlägen"
Kshitigarbha,大小,"Höhe x Breite x Tiefe: 11 x 5 x 3,5 cm"
Kshitigarbha,描述,[SM8HF]
Kshitigarbha,图片链接,https://recherche.smb.museum/images/5845316_300x300.jpg
Kshitigarbha,详情链接,https://id.smb.museum/object/1714827/kshitigarbha
Beschlagstück (chin.小配件 xiao peijian),属于,Staatliche Museen zu Berlin
Beschlagstück (chin.小配件 xiao peijian),年代,Zhou-Dynastie (Östliche)
Beschlagstück (chin.小配件 xiao peijian),材料,Bronze
Beschlagstück (chin.小配件 xiao peijian),大小,Länge x Breite: 20 x 20 cm
Beschlagstück (chin.小配件 xiao peijian),描述,Beschlagstück in Form einer Taotie-Maske
Beschlagstück (chin.小配件 xiao peijian),图片链接,https://recherche.smb.museum/images/3281925_300x300.jpg
Beschlagstück (chin.小配件 xiao peijian),详情链接,https://id.smb.museum/object/1612774/beschlagstuck-chin-%E5%B0%8F%E9%85%8D%E4%BB%B6-xiao-peijian
Sitzende Nocha 哪吨,属于,Staatliche Museen zu Berlin
Sitzende Nocha 哪吨,年代,Qing (Mandschu) -Dynastie
Sitzende Nocha 哪吨,材料,"Holz, vergoldet"
Sitzende Nocha 哪吨,大小,Objektmaß: cm lt. Inv.buch: klein
Sitzende Nocha 哪吨,描述,"Dieses Objekt gilt als Kriegsverlust. (Stand März 2011). Publ. durch Grube, Müller, Fêng-shên-yên-i, 1912 (mit der hier widergegebenen Skizze)."
Sitzende Nocha 哪吨,图片链接,https://recherche.smb.museum/images/3254751_300x300.jpg
Sitzende Nocha 哪吨,详情链接,https://id.smb.museum/object/1607740/sitzende-nocha-%E5%93%AA%E5%90%A8
Stehender Buddha ohne Kopf,属于,Staatliche Museen zu Berlin
Stehender Buddha ohne Kopf,年代,1920er Jahre
Stehender Buddha ohne Kopf,材料,Gipsabguss mit Farbanstrich
Stehender Buddha ohne Kopf,大小,"Höhe x Breite x Tiefe: 59,5 x 21,5 x 6 cm"
Stehender Buddha ohne Kopf,描述,[SM8HF]
Stehender Buddha ohne Kopf,图片链接,https://recherche.smb.museum/images/5841609_300x300.jpg
Stehender Buddha ohne Kopf,详情链接,https://id.smb.museum/object/2425228/stehender-buddha-ohne-kopf
Löwe,属于,Staatliche Museen zu Berlin
Löwe,年代,Qing (Mandschu) –Dynastie (Ende). vor 1878
Löwe,材料,"Textil, Glas, Metall"
Löwe,大小,Objektmaß: 16 x 15 x 25 cm
Löwe,描述,"Karteikarte .: ""aus Stoff genäht und mit Watte gefüttert. Grundfarbe blau mit roter, grüner und weißer Bemalung. Ohren und Schwanz an Spiralen befestigt. Rote Fransenmähne über dem Rücken. Schwarze Glasaugen."""
Löwe,图片链接,https://recherche.smb.museum/images/3699232_300x300.jpg
Löwe,详情链接,https://id.smb.museum/object/1575389/lowe
Vier Schalen,属于,Staatliche Museen zu Berlin
Vier Schalen,年代,Qing-Dynastie-Yongzheng-Ära-um 1730
Vier Schalen,材料,Porzellan mit unterglasurblauem Dekor
Vier Schalen,大小,"Höhe x Durchmesser: 6,3 x 13,2 cm (a)"
Vier Schalen,描述,[SM8HF]
Vier Schalen,图片链接,https://recherche.smb.museum/images/5693319_300x300.jpg
Vier Schalen,详情链接,https://id.smb.museum/object/2423748/vier-schalen
Teller mit Drachenmotiv,属于,Staatliche Museen zu Berlin
Teller mit Drachenmotiv,年代,Qing-Dynastie-1875 - 1900
Teller mit Drachenmotiv,材料,Porzellan mit Aufglasurdekor in Eisenrot und Gold
Teller mit Drachenmotiv,大小,"Höhe x Durchmesser: 5,3 x 34,4 cm"
Teller mit Drachenmotiv,描述,[SM8HF]
Teller mit Drachenmotiv,图片链接,https://recherche.smb.museum/images/5693530_300x300.jpg
Teller mit Drachenmotiv,详情链接,https://id.smb.museum/object/2423710/teller-mit-drachenmotiv
Deckelvase,属于,Staatliche Museen zu Berlin
Deckelvase,年代,Ming-Dynastie-um 1630
Deckelvase,材料,Porzellan mit unterglasurblauem Dekor
Deckelvase,大小,"Höhe: 37,4 cm (mit Deckel)"
Deckelvase,描述,[SM8HF]
Deckelvase,图片链接,https://recherche.smb.museum/images/5693316_300x300.jpg
Deckelvase,详情链接,https://id.smb.museum/object/2423700/deckelvase
Deckeldose,属于,Staatliche Museen zu Berlin
Deckeldose,年代,Qing-Dynastie-Yongzheng-Ära
Deckeldose,材料,Porzellan mit unterglasurblauem Dekor
Deckeldose,大小,"Höhe x Durchmesser: 10,5 x 22,8 cm (Öffnung)"
Deckeldose,描述,[SM8HF]
Deckeldose,图片链接,https://recherche.smb.museum/images/5693308_300x300.jpg
Deckeldose,详情链接,https://id.smb.museum/object/2423697/deckeldose
Teller,属于,Staatliche Museen zu Berlin
Teller,年代,Ming-Dynastie-Jiajing-Ära
Teller,材料,Porzellan mit unterglasurblauem Dekor
Teller,大小,"Höhe: 7,7 cm"
Teller,描述,[SM8HF]
Teller,图片链接,https://recherche.smb.museum/images/5693646_300x300.jpg
Teller,详情链接,https://id.smb.museum/object/2423696/teller
Deckelschale mit geschweiftem Untersatz,属于,Staatliche Museen zu Berlin
Deckelschale mit geschweiftem Untersatz,年代,Qing-Dynastie-18. Jh.
Deckelschale mit geschweiftem Untersatz,材料,"Steinzeug mit Schmelzfarbendekor, innen weiß glasiert"
Deckelschale mit geschweiftem Untersatz,大小,"Höhe x Durchmesser: 10 x 11,5 cm"
Deckelschale mit geschweiftem Untersatz,描述,[SM8HF]
Deckelschale mit geschweiftem Untersatz,图片链接,https://recherche.smb.museum/images/4988409_300x300.jpg
Deckelschale mit geschweiftem Untersatz,详情链接,https://id.smb.museum/object/2009302/deckelschale-mit-geschweiftem-untersatz
Zwölfpassiges Schälchen mit Untersatz,属于,Staatliche Museen zu Berlin
Zwölfpassiges Schälchen mit Untersatz,年代,Qing-Dynastie-18. Jh.
Zwölfpassiges Schälchen mit Untersatz,材料,Steinzeug
Zwölfpassiges Schälchen mit Untersatz,大小,Höhe x Durchmesser: ca. 6 x 11 cm
Zwölfpassiges Schälchen mit Untersatz,描述,[SM8HF]
Zwölfpassiges Schälchen mit Untersatz,图片链接,https://recherche.smb.museum/images/5079567_300x300.jpg
Zwölfpassiges Schälchen mit Untersatz,详情链接,https://id.smb.museum/object/2009294/zwolfpassiges-schalchen-mit-untersatz
Großer Teller,属于,Staatliche Museen zu Berlin
Großer Teller,年代,Qing-Dynastie-1. Hälfte 19. Jh.
Großer Teller,材料,Porzellan mit Schmelzfarben der famille rose
Großer Teller,大小,"Höhe x Durchmesser: 10,6 x 47 cm"
Großer Teller,描述,[SM8HF]
Großer Teller,图片链接,https://recherche.smb.museum/images/4978034_300x300.jpg
Großer Teller,详情链接,https://id.smb.museum/object/2009285/grosser-teller
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,属于,Staatliche Museen zu Berlin
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,年代,Qing-Dynastie-um 1700
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,材料,Steinzeug
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,大小,Höhe x Breite x Tiefe: ca. 11 x 15 x 11 cm
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,描述,[SM8HF]
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,图片链接,https://recherche.smb.museum/images/4981003_300x300.jpg
Kugelförmige Teekanne mit gemodeltem Dekor von Weinranken und Eichhörnchen,详情链接,https://id.smb.museum/object/2009263/kugelformige-teekanne-mit-gemodeltem-dekor-von-weinranken-und-eichhornchen
Teekanne,属于,Staatliche Museen zu Berlin
Teekanne,年代,Qing-Dynastie
Teekanne,材料,Steinzeug
Teekanne,大小,"Höhe x Breite x Tiefe: 12,9 x 15,5 x 6,1 cm"
Teekanne,描述,[SM8HF]
Teekanne,图片链接,https://recherche.smb.museum/images/4978065_300x300.jpg
Teekanne,详情链接,https://id.smb.museum/object/2009253/teekanne
Teekanne mit aufgelegten Flechtwerkmotiven,属于,Staatliche Museen zu Berlin
Teekanne mit aufgelegten Flechtwerkmotiven,年代,Qing-Dynastie-um 1700
Teekanne mit aufgelegten Flechtwerkmotiven,材料,Steinzeug
Teekanne mit aufgelegten Flechtwerkmotiven,大小,Höhe x Breite x Tiefe: ca. 11 x 12 x 8 cm
Teekanne mit aufgelegten Flechtwerkmotiven,描述,[SM8HF]
Teekanne mit aufgelegten Flechtwerkmotiven,图片链接,https://recherche.smb.museum/images/4981010_300x300.jpg
Teekanne mit aufgelegten Flechtwerkmotiven,详情链接,https://id.smb.museum/object/2009250/teekanne-mit-aufgelegten-flechtwerkmotiven
Kanne in Form von gebündeltem Bambus,属于,Staatliche Museen zu Berlin
Kanne in Form von gebündeltem Bambus,年代,Qing-Dynastie-18. Jh.
Kanne in Form von gebündeltem Bambus,材料,Steinzeug
Kanne in Form von gebündeltem Bambus,大小,Höhe x Breite x Tiefe: ca. 13 x 12 x 9 cm
Kanne in Form von gebündeltem Bambus,描述,[SM8HF]
Kanne in Form von gebündeltem Bambus,图片链接,https://recherche.smb.museum/images/4981002_300x300.jpg
Kanne in Form von gebündeltem Bambus,详情链接,https://id.smb.museum/object/2009219/kanne-in-form-von-gebundeltem-bambus
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",属于,Staatliche Museen zu Berlin
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",年代,Qing-Dynastie-um 1700
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",材料,Steinzeug mit europäischer Metallfassung
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",大小,"Höhe x Breite x Tiefe: 12,5 x 15,8 x 8,5 cm"
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",描述,[SM8HF]
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",图片链接,https://recherche.smb.museum/images/4978066_300x300.jpg
"Viereckige Teekanne mit durchbrochenem gemodeltem ""Drei Freunde-Dekor"" (Kiefer, Pflaume, Bambus)",详情链接,https://id.smb.museum/object/2009217/viereckige-teekanne-mit-durchbrochenem-gemodeltem-drei-freunde-dekor-kiefer
Teebüchse als Teekanne montiert mit Drachen- und Vogeldekor,属于,Staatliche Museen zu Berlin
Teebüchse als Teekanne montiert mit Drachen- und Vogeldekor,年代,Qing-Dynastie-18. Jh.
Teebüchse als Teekanne montiert mit Drachen- und Vogeldekor,材料,Steinzeug mit europäischer Goldbronzefassung
Teebüchse als Teekanne montiert mit Drachen- und Vogeldekor,大小,Höhe x Breite x Tiefe: ca. 13 x 18 x 11 cm
Teebüchse als Teekanne montiert mit Drachen- und Vogeldekor,描述,[SM8HF]
