id,museum,title,era,material,size,description,detail_url,image,download_link
1684,Staatliche Museen zu Berlin,Schale,Qing-Dynastie-Yongzheng-Ära,Porzellan mit blauer Bemalung,"Höhe x Durchmesser: 5,5 x 13,3 cm (laut KK)",[SM8HF],https://id.smb.museum/object/2007616/schale,https://recherche.smb.museum/images/4922927_300x300.jpg,https://recherche.smb.museum/images/4922927_300x300.jpg
1685,Staatliche Museen zu Berlin,Flache Porzellanschale,Ming-Dynastie-15. Jh. (?),Porzellan mit milchweißer Glasur,"Höhe x Durchmesser: 3,5 x 21 cm (laut KK)",[SM8HF],https://id.smb.museum/object/2007574/flache-porzellanschale,https://recherche.smb.museum/images/4922937_300x300.jpg,https://recherche.smb.museum/images/4922937_300x300.jpg
1686,Staatliche Museen zu Berlin,Teller,Qing-Dynastie-Kangxi-Ära,"Porzellan mit Schmelzfarben der famille verte, Eisenrot, schwarzer Farbe und Gold","Höhe x Durchmesser: 5,4 x 27,5 cm (laut KK)",[SM8HF],https://id.smb.museum/object/2007522/teller,https://recherche.smb.museum/images/4922938_300x300.jpg,https://recherche.smb.museum/images/4922938_300x300.jpg
1687,Staatliche Museen zu Berlin,Vase,Qing-Dynastie,Porzellan mit Glasur,"Höhe x Durchmesser: 17,4 x 7,6 cm",[SM8HF],https://id.smb.museum/object/2007501/vase,https://recherche.smb.museum/images/4923502_300x300.jpg,https://recherche.smb.museum/images/4923502_300x300.jpg
1688,Staatliche Museen zu Berlin,Weituo,Qing-Dynastie-2. Hälfte 18. Jh.,Elfenbeinweißes Porzellan,"Höhe x Breite x Tiefe: 38 x 17,5 x 12,5 cm",[SM8HF],https://id.smb.museum/object/2007489/weituo,https://recherche.smb.museum/images/4922929_300x300.jpg,https://recherche.smb.museum/images/4922929_300x300.jpg
1689,Staatliche Museen zu Berlin,Teeschale (吉州窯黑釉葉紋茶盞),13. Jahrhundert-Jin-Dynastie,"Steinzeug, schwarz glasiert","Höhe x Durchmesser: 6 x 14,7 cm",[SM8HF],https://id.smb.museum/object/2394279/teeschale-%E5%90%89%E5%B7%9E%E7%AA%AF%E9%BB%91%E9%87%89%E8%91%89%E7%B4%8B%E8%8C%B6%E7%9B%9E,https://recherche.smb.museum/images/5685129_300x300.jpg,https://recherche.smb.museum/images/5685129_300x300.jpg
1690,Staatliche Museen zu Berlin,Geschnitztes Holzstück mit Voluten und floralem Muster,,Holz,"Höhe x Breite x Tiefe: 24,3 x 10 x 5,5 cm",[SM8HF],https://id.smb.museum/object/2004009/geschnitztes-holzstuck-mit-voluten-und-floralem-muster,https://recherche.smb.museum/images/5845304_300x300.jpg,https://recherche.smb.museum/images/5845304_300x300.jpg
1691,Staatliche Museen zu Berlin,,,"Eisen, Textil","Länge: 8,5 cm gesamt",,https://id.smb.museum/object/1553661/ahrenmesser-fur-hirse-oder-sorghum,https://recherche.smb.museum/images/3700282_300x300.jpg,https://recherche.smb.museum/images/3700282_300x300.jpg
1692,Staatliche Museen zu Berlin,,,"Holz, Metall","Länge: 27,5 cm außen",,https://id.smb.museum/object/1553648/haumesser-fur-waldgange,https://recherche.smb.museum/images/3702468_300x300.jpg,https://recherche.smb.museum/images/3702468_300x300.jpg
1693,Staatliche Museen zu Berlin,,,"Holz, Metall",Länge: 41 cm,,https://id.smb.museum/object/1553644/sichel-zum-schilfschneiden,https://recherche.smb.museum/images/3702498_300x300.jpg,https://recherche.smb.museum/images/3702498_300x300.jpg
1694,Staatliche Museen zu Berlin,,,"Holz, Metall","Länge: 50,5 cm gesamt",zweizinkige Hacke,https://id.smb.museum/object/1553640/erdhacke,https://recherche.smb.museum/images/3702485_300x300.jpg,https://recherche.smb.museum/images/3702485_300x300.jpg
1695,Staatliche Museen zu Berlin,,,"Hoz, Metall",Länge x Breite: a: 13 x 11 cm,,https://id.smb.museum/object/1553638/sichelmesser,https://recherche.smb.museum/images/3700285_300x300.jpg,https://recherche.smb.museum/images/3700285_300x300.jpg
1696,Staatliche Museen zu Berlin,,,Ton,Höhe: 7 cm,"Eintrag im historischen Hauptkatalog: ""I D 34143 a-c drei verschiedene Behälter für Grillen aus Ton""",https://id.smb.museum/object/1553598/grillenkafig,https://recherche.smb.museum/images/3700278_300x300.jpg,https://recherche.smb.museum/images/3700278_300x300.jpg
1697,Staatliche Museen zu Berlin,,,"Bambus, Pflanzenfasern","Länge: 10,5 cm",,https://id.smb.museum/object/1553583/bienenfalle,https://recherche.smb.museum/images/3700281_300x300.jpg,https://recherche.smb.museum/images/3700281_300x300.jpg
1698,Staatliche Museen zu Berlin,,,"Keramik, Metall, Pflanzenfaser",Höhe: 12 cm,,https://id.smb.museum/object/1553545/grillenkafig,https://recherche.smb.museum/images/3702524_300x300.jpg,https://recherche.smb.museum/images/3702524_300x300.jpg
1699,Staatliche Museen zu Berlin,,,"Kalebasse, Elfenbein, Seide",Höhe: 13 cm,,https://id.smb.museum/object/1553388/grillenkafig,https://recherche.smb.museum/images/3700273_300x300.jpg,https://recherche.smb.museum/images/3700273_300x300.jpg
1700,Staatliche Museen zu Berlin,,,"Kalebasse, Elfenbein, Seide","Höhe: 14,5 cm",,https://id.smb.museum/object/1553381/grillenkafig,https://recherche.smb.museum/images/3700196_300x300.jpg,https://recherche.smb.museum/images/3700196_300x300.jpg
1701,Staatliche Museen zu Berlin,,,Holz mit Eisennadel,"Länge: 12,5 cm",,https://id.smb.museum/object/1553369/schilfspalter,https://recherche.smb.museum/images/3700283_300x300.jpg,https://recherche.smb.museum/images/3700283_300x300.jpg
1702,Staatliche Museen zu Berlin,Obststand,,Präsentationsform: auf Karton (Fototafel),"Bildformat (Foto): 20,4 x 27,4 cm",Zwei Männer hinter einem Obststand,https://id.smb.museum/object/1551359/obststand,https://recherche.smb.museum/images/3013868_300x300.jpg,https://recherche.smb.museum/images/3013868_300x300.jpg
1703,Staatliche Museen zu Berlin,Bogenschütze,"Republik China, ca.1930-1933",Präsentationsform: auf Karton (Fototafel),"Bildformat (Foto): 23,7 x 17,7 cm","Aufnahme  Brunhild Lessing-Körner aus der Zeit der Forschungsreise durch Nordchina ,1930-33. Die Aufnahme wurde erstmals publiziert. in: Lessing, Ferdinand:  Mongolen: Hirten, Priester und Dämonen,  Berlin, 1935. (Anmerkung Siegmar Nahser).",https://id.smb.museum/object/1551334/bogenschutze,https://recherche.smb.museum/images/3013857_300x300.jpg,https://recherche.smb.museum/images/3013857_300x300.jpg
1704,Staatliche Museen zu Berlin,China: Wanli,1573-1620,Material: Messing,"Gewicht: 5,47 g","Vorderseite: Wan Li tong bao. Vier chinesische Schriftzeichen um Quadratloch in der Mitte.

Rückseite: Glatt.

Kommentar: Epoche Wan-Li, Tempelname Shenzong.

Literatur: F. Schjöth, Chinese Currency (1965) Nr. 1193; Bruce - Michael 1601-1700 163 Nr. 13.1; D. Hartill, Cast Chinese Coins (2005) 251 Nr. 20.167.

Weitere Informationen zum Objekt finden Sie hier: https://ikmk.smb.museum/object?id=18252634",https://id.smb.museum/object/2382323/china-wanli,https://recherche.smb.museum/images/5556658_300x300.jpg,https://recherche.smb.museum/images/5556658_300x300.jpg
1705,Staatliche Museen zu Berlin,,Qing (Mandschu) –Dynastie (Ende),Stein,"Objektmaß: 26,1 x 26,5 x 1,9 cm",[SM8HF],https://id.smb.museum/object/1531419/klangstein,https://recherche.smb.museum/images/2960187_300x300.jpg,https://recherche.smb.museum/images/2960187_300x300.jpg
1706,Staatliche Museen zu Berlin,Grabanlage  der Haupt- und  dreier Nebenfrauen Kaiser Tongzhis,"Tongzhi-Periode, vor 1873","Holz, Papier, Farbe, Tusche","Objektmaß: 18,5 x 54 x 102 cm","Baumodell für das  Grab der Hauptfrau  Kaiser Tongzhis (1856-1875), Alute (+1875) und dreier Nebenfrauen. Das Originalbauwerk  befindet sich   in Dongling, ca. 150 nördl. von Beijing.
(Redaktioneller Kurztext nach vorliegender Literatur und Begutachtung durch Prof. Wang Qiheng ,  Yangshi Lei Architectural Archives Research Institute ,  Tianjin  University, im Mai 2013, in Berlin. Kommentar: Siegmar  Nahser).",https://id.smb.museum/object/1531397/grabanlage--der-haupt--und--dreier-nebenfrauen-kaiser-tongzhis,https://recherche.smb.museum/images/2960205_300x300.jpg,https://recherche.smb.museum/images/2960205_300x300.jpg
1707,Staatliche Museen zu Berlin,Holzschlüssel,,Holz,"Höhe x Breite x Tiefe: 2,4 x 2,8 x 19 cm",[SM8HF],https://id.smb.museum/object/1969859/holzschlussel,https://recherche.smb.museum/images/5843964_300x300.jpg,https://recherche.smb.museum/images/5843964_300x300.jpg
1708,Staatliche Museen zu Berlin,Stehender Buddha,,"Holz, geschnitzt, mit Farbresten","Höhe x Breite x Tiefe: 18 x 6,5 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1968522/stehender-buddha,https://recherche.smb.museum/images/5842510_300x300.jpg,https://recherche.smb.museum/images/5842510_300x300.jpg
1709,Staatliche Museen zu Berlin,Votivtafel mit stehendem Buddha,,Farben auf Holz,"Höhe x Breite x Tiefe: 21,3 x 8,3 x 0,6 cm",[SM8HF],https://id.smb.museum/object/1967635/votivtafel-mit-stehendem-buddha,https://recherche.smb.museum/images/5844851_300x300.jpg,https://recherche.smb.museum/images/5844851_300x300.jpg
1710,Staatliche Museen zu Berlin,,Datierung: 20. Jh.(Anfang),"Pergament, bemalt; Bambus; Metall","Höhe: 37,5 cm","Figur aus dem chinesischen Schattentheater (皮影戏; píyǐngxì).Menschliche Figuren bestehen im chin. Schattentheater traditionell aus bis zu neun beweglichen Teilen (Kulissen und Gegenstände sind dagegen meist aus einem Stück gefertigt), wobei paarweise vorkommende Teile nur einfach gezählt werden. Es handelt sich hierbei um:&nbsp;den Kopf (meist abnehmbar und auf verschiedenen Körpern zu verwenden)den Oberkörperdas GesäßteilOberarmUnterarmHand (in manchen Stilen zweiteilig)Bein (in manchen Stilen zweiteilig)In Sichuan wird oft auch die Kopfbedeckung extra geschnitten.Meist werden die Figuren im Seitenprofil dargestellt. Kleidung, Haar- und Barttracht orientieren sich am Vorbild der „großen“ Oper des jeweiligen Regionaltyps. Die Größe die Figuren beträgt 40–70 cm im Weststil und 20–47 cm im Osten. Aufbewahrt werden die Figuren in flachen Mappen (bao), die wiederum gemeinsam mit der übrigen Ausstattung in Kisten oder Bündeln transportiert werden.",https://id.smb.museum/object/2799466/schattenspielfigur,https://recherche.smb.museum/images/6127094_300x300.jpg,https://recherche.smb.museum/images/6127094_300x300.jpg
1711,Staatliche Museen zu Berlin,,Datierung: 20. Jh.(Anfang),"Pergament, bemalt; Bambus; Metall","Höhe: 33,5 cm","Figur aus dem chinesischen Schattentheater (皮影戏; píyǐngxì).Menschliche Figuren bestehen im chin. Schattentheater traditionell aus bis zu neun beweglichen Teilen (Kulissen und Gegenstände sind dagegen meist aus einem Stück gefertigt), wobei paarweise vorkommende Teile nur einfach gezählt werden. Es handelt sich hierbei um:&nbsp;den Kopf (meist abnehmbar und auf verschiedenen Körpern zu verwenden)den Oberkörperdas GesäßteilOberarmUnterarmHand (in manchen Stilen zweiteilig)Bein (in manchen Stilen zweiteilig)In Sichuan wird oft auch die Kopfbedeckung extra geschnitten. Meist werden die Figuren im Seitenprofil dargestellt. Kleidung, Haar- und Barttracht orientieren sich am Vorbild der „großen“ Oper des jeweiligen Regionaltyps. Die Größe die Figuren beträgt 40–70 cm im Weststil und 20–47 cm im Osten. Aufbewahrt werden die Figuren in flachen Mappen (bao), die wiederum gemeinsam mit der übrigen Ausstattung in Kisten oder Bündeln transportiert werden.",https://id.smb.museum/object/2780391/schattenspielfigur,https://recherche.smb.museum/images/6127095_300x300.jpg,https://recherche.smb.museum/images/6127095_300x300.jpg
1712,Staatliche Museen zu Berlin,Elefantenbein,,"Holz, geschnitzt, mit Resten von Malschicht",Höhe x Breite x Tiefe: 11 x 4 x 3 cm,[SM8HF],https://id.smb.museum/object/1940641/elefantenbein,https://recherche.smb.museum/images/5838081_300x300.jpg,https://recherche.smb.museum/images/5838081_300x300.jpg
1713,Staatliche Museen zu Berlin,"Devata (Gottheit), stehend",7. Jh.,"Lehm, bemalt","Sockel: Höhe 7,5 cm (Holzbrett auf Metallsockel)",[SM8HF],https://id.smb.museum/object/1508620/devata-gottheit-stehend,https://recherche.smb.museum/images/5022280_300x300.jpg,https://recherche.smb.museum/images/5022280_300x300.jpg
1714,Staatliche Museen zu Berlin,Löwe,,Sandstein,"Höhe x Breite x Tiefe: 11,5 x 7 x 7 cm",[SM8HF],https://id.smb.museum/object/1938141/lowe,https://recherche.smb.museum/images/5840511_300x300.jpg,https://recherche.smb.museum/images/5840511_300x300.jpg
1715,Staatliche Museen zu Berlin,Affe als Musikant,,"Terrakotta, gebrannt","Höhe x Breite x Tiefe: 6 x 2,5 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1938139/affe-als-musikant,https://recherche.smb.museum/images/5839853_300x300.jpg,https://recherche.smb.museum/images/5839853_300x300.jpg
1716,Staatliche Museen zu Berlin,"Rossette, Blume",,"Lehm, bemalt","Höhe x Breite x Tiefe: 13,9 x 17,7 x 4 cm",[SM8HF],https://id.smb.museum/object/1938138/rossette-blume,https://recherche.smb.museum/images/5840346_300x300.jpg,https://recherche.smb.museum/images/5840346_300x300.jpg
1717,Staatliche Museen zu Berlin,Chinesisches Ornament,,Elfenbein,"Höhe x Breite x Tiefe: 3,1 x 4,5 x 0,5 cm",[SM8HF],https://id.smb.museum/object/1938126/chinesisches-ornament,https://recherche.smb.museum/images/5838046_300x300.jpg,https://recherche.smb.museum/images/5838046_300x300.jpg
1718,Staatliche Museen zu Berlin,Stehende Gottheit,,Bronze,"Höhe x Breite x Tiefe: 7,5 x 3 x 1 cm",[SM8HF],https://id.smb.museum/object/1938124/stehende-gottheit,https://recherche.smb.museum/images/5838033_300x300.jpg,https://recherche.smb.museum/images/5838033_300x300.jpg
1719,Staatliche Museen zu Berlin,Form für Beine eines sitzenden Ritters,,Gipsform,Höhe x Breite x Tiefe: 22 x 39 x 10 cm,[SM8HF],https://id.smb.museum/object/1938063/form-fur-beine-eines-sitzenden-ritters,https://recherche.smb.museum/images/5841240_300x300.jpg,https://recherche.smb.museum/images/5841240_300x300.jpg
1720,Staatliche Museen zu Berlin,Fragment eines Kopfes mit Schnurrbart,,"Ton, mit Resten von Bemalung","Höhe x Breite x Tiefe: 5,2 x 3,4 x 2,2 cm (a)",[SM8HF],https://id.smb.museum/object/1938033/fragment-eines-kopfes-mit-schnurrbart,https://recherche.smb.museum/images/5839864_300x300.jpg,https://recherche.smb.museum/images/5839864_300x300.jpg
1721,Staatliche Museen zu Berlin,Buddhakopf,,"Lehm, bemalt","Höhe x Breite x Tiefe: 6 x 3,8 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1937657/buddhakopf,https://recherche.smb.museum/images/5838857_300x300.jpg,https://recherche.smb.museum/images/5838857_300x300.jpg
1722,Staatliche Museen zu Berlin,,19. Jahrhundert-Datierung engl.: 19th century,"Kette: Baumwolle; Schuss: Baumwolle, Wolle; Knoten: Baumwolle, asymmetrisch, V 16, H 32 pro 10 cm",Höhe: 174 cm,Vollständig erhaltener Knüpfteppich. Auf hellem Grund sind kreuzförmig angeordnete Blüten- und Passformen mit Gabelblättern zu erkennen. Die Komposition ist von einem blauen mäanderähnlichen Muster umrahmt.,https://id.smb.museum/object/1936810/knupfteppich-teppich,https://recherche.smb.museum/images/5251241_300x300.jpg,https://recherche.smb.museum/images/5251241_300x300.jpg
1723,Staatliche Museen zu Berlin,Möbelteil,,"Holz, gedreht","Höhe x Breite x Tiefe: 36 x 6,5 x 5,5 cm",[SM8HF],https://id.smb.museum/object/1936786/mobelteil,https://recherche.smb.museum/images/5845850_300x300.jpg,https://recherche.smb.museum/images/5845850_300x300.jpg
1724,Staatliche Museen zu Berlin,Sockel,,"Holz, geschnitzt, mit Farbresten","Höhe x Breite x Tiefe: 11,2 x 10 x 6,3 cm",[SM8HF],https://id.smb.museum/object/1936550/sockel,https://recherche.smb.museum/images/5844468_300x300.jpg,https://recherche.smb.museum/images/5844468_300x300.jpg
1725,Staatliche Museen zu Berlin,Zwei Teile einer Thronlehne,,"Holz, geschnitzt","Höhe x Breite x Tiefe: a) 48,2 x 5,5 x 7,5 cm",[SM8HF],https://id.smb.museum/object/1936485/zwei-teile-einer-thronlehne,https://recherche.smb.museum/images/5845843_300x300.jpg,https://recherche.smb.museum/images/5845843_300x300.jpg
1726,Staatliche Museen zu Berlin,Stempel an Wein- oder Getreidekrug,,Lehm,Höhe x Breite x Tiefe: 13 x 17 x 2 cm,[SM8HF],https://id.smb.museum/object/1928737/stempel-an-wein--oder-getreidekrug,https://recherche.smb.museum/images/5833008_300x300.jpg,https://recherche.smb.museum/images/5833008_300x300.jpg
1727,Staatliche Museen zu Berlin,Kamel,,Bronze,"Höhe x Breite x Tiefe: 2,3 x 2 x 0,3 cm",[SM8HF],https://id.smb.museum/object/1928730/kamel,https://recherche.smb.museum/images/5840509_300x300.jpg,https://recherche.smb.museum/images/5840509_300x300.jpg
1728,Staatliche Museen zu Berlin,Rest einer Messingplatte,,Messing,"Höhe x Breite x Tiefe: 6,4 x 12,5 x 0,2 cm",[SM8HF],https://id.smb.museum/object/1928697/rest-einer-messingplatte,https://recherche.smb.museum/images/5838070_300x300.jpg,https://recherche.smb.museum/images/5838070_300x300.jpg
1729,Staatliche Museen zu Berlin,Gürtelornament Hirsch,,Bronze,"Höhe x Breite x Tiefe: 4,3 x 6,2 x 0,5 cm",[SM8HF],https://id.smb.museum/object/1928695/gurtelornament-hirsch,https://recherche.smb.museum/images/5838064_300x300.jpg,https://recherche.smb.museum/images/5838064_300x300.jpg
1730,Staatliche Museen zu Berlin,Buddhistische Gottheit,,Bronze,"Höhe x Breite x Tiefe: 6,1 x 3 x 1,6 cm",[SM8HF],https://id.smb.museum/object/1928674/buddhistische-gottheit,https://recherche.smb.museum/images/5838062_300x300.jpg,https://recherche.smb.museum/images/5838062_300x300.jpg
1731,Staatliche Museen zu Berlin,Avalokiteshvara (?),,Bronze,"Höhe x Breite x Tiefe: 9,7 x 2,5 x 1,5 cm",[SM8HF],https://id.smb.museum/object/1928671/avalokiteshvara,https://recherche.smb.museum/images/5838058_300x300.jpg,https://recherche.smb.museum/images/5838058_300x300.jpg
1732,Staatliche Museen zu Berlin,Buddhistische Gottheit,,Bronze,"Höhe x Breite x Tiefe: 6,6 x 1,8 x 1,5 cm",[SM8HF],https://id.smb.museum/object/1928667/buddhistische-gottheit,https://recherche.smb.museum/images/5838060_300x300.jpg,https://recherche.smb.museum/images/5838060_300x300.jpg
1733,Staatliche Museen zu Berlin,Gottheit,,Bronze,"Höhe x Breite x Tiefe: 7,1 x 2,5 x 1,5 cm",[SM8HF],https://id.smb.museum/object/1928664/gottheit,https://recherche.smb.museum/images/5838057_300x300.jpg,https://recherche.smb.museum/images/5838057_300x300.jpg
1734,Staatliche Museen zu Berlin,Gürtelschnalle,,"Nephrit, geschnitzt","Höhe x Breite x Tiefe: 3,8 x 4,5 x 1 cm",[SM8HF],https://id.smb.museum/object/1928663/gurtelschnalle,https://recherche.smb.museum/images/5838044_300x300.jpg,https://recherche.smb.museum/images/5838044_300x300.jpg
1735,Staatliche Museen zu Berlin,Zwei kleine Statuetten,,Bronze,"Höhe x Breite x Tiefe: 5,2 x 1,5 x 1,3 cm (a)",[SM8HF],https://id.smb.museum/object/1928655/zwei-kleine-statuetten,https://recherche.smb.museum/images/5838038_300x300.jpg,https://recherche.smb.museum/images/5838038_300x300.jpg
1736,Staatliche Museen zu Berlin,Kleiner Stupa,,Lehm,"Höhe x Breite x Tiefe: 9 x 8,5 x 8,5 cm",[SM8HF],https://id.smb.museum/object/1928654/kleiner-stupa,https://recherche.smb.museum/images/5838048_300x300.jpg,https://recherche.smb.museum/images/5838048_300x300.jpg
1737,Staatliche Museen zu Berlin,Stehender Buddha,,Gepunzte Bronzescheibe,"Höhe x Breite x Tiefe: 5,8 x 3,5 x 0,3 cm",[SM8HF],https://id.smb.museum/object/1928653/stehender-buddha,https://recherche.smb.museum/images/5838035_300x300.jpg,https://recherche.smb.museum/images/5838035_300x300.jpg
1738,Staatliche Museen zu Berlin,Rest einer Rahmenleiste,,"Holz, geschnitzt und bemalt","Höhe x Breite x Tiefe: 10,4 x 37,5 x 5 cm",[SM8HF],https://id.smb.museum/object/1928637/rest-einer-rahmenleiste,https://recherche.smb.museum/images/5845343_300x300.jpg,https://recherche.smb.museum/images/5845343_300x300.jpg
1739,Staatliche Museen zu Berlin,Holzsiegel,,"Holz, geschnitzt und bemalt","Höhe x Breite x Tiefe: 3,6 x 1,5 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1928589/holzsiegel,https://recherche.smb.museum/images/5842386_300x300.jpg,https://recherche.smb.museum/images/5842386_300x300.jpg
1740,Staatliche Museen zu Berlin,Kleiner sitzender Buddha,9. Jh.,"Holz, geschnitzt, mit Spuren von Bemalung und Vergoldung","Höhe x Breite x Tiefe: 5,8 x 4,8 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1928588/kleiner-sitzender-buddha,https://recherche.smb.museum/images/5842136_300x300.jpg,https://recherche.smb.museum/images/5842136_300x300.jpg
1741,Staatliche Museen zu Berlin,Schrein eines hölzernen Votiv-Stupa,,Holz mit roter Farbe,"Höhe x Breite x Tiefe: 6,7 x 5,2 x 4 cm",[SM8HF],https://id.smb.museum/object/1928585/schrein-eines-holzernen-votiv-stupa,https://recherche.smb.museum/images/5842109_300x300.jpg,https://recherche.smb.museum/images/5842109_300x300.jpg
1742,Staatliche Museen zu Berlin,Europäisch sitzende Gottheit,,"Holz, geschnitzt","Höhe x Breite x Tiefe: 16 x 6 x 3,5 cm",[SM8HF],https://id.smb.museum/object/1928575/europaisch-sitzende-gottheit,https://recherche.smb.museum/images/5842182_300x300.jpg,https://recherche.smb.museum/images/5842182_300x300.jpg
1743,Staatliche Museen zu Berlin,Unterkörper einer bekleideten Figur,,"Holz, geschnitz, bemalt und vergoldet","Höhe x Breite x Tiefe: 13,6 x 4,5 x 3 cm",[SM8HF],https://id.smb.museum/object/1928574/unterkorper-einer-bekleideten-figur,https://recherche.smb.museum/images/5842419_300x300.jpg,https://recherche.smb.museum/images/5842419_300x300.jpg
1744,Staatliche Museen zu Berlin,Indische Gottheit,,"Holz, geschnitzt, mit Farbresten","Höhe x Breite x Tiefe: 16,6 x 7 x 2,3 cm",[SM8HF],https://id.smb.museum/object/1928540/indische-gottheit,https://recherche.smb.museum/images/5842369_300x300.jpg,https://recherche.smb.museum/images/5842369_300x300.jpg
1745,Staatliche Museen zu Berlin,Anhänger einer Schmuckkette,,"Holz, geschnitzt, mit Resten von Vergoldung","Höhe x Breite x Tiefe: 10,6 x 4,5 x 0,5 cm",[SM8HF],https://id.smb.museum/object/1928539/anhanger-einer-schmuckkette,https://recherche.smb.museum/images/5842120_300x300.jpg,https://recherche.smb.museum/images/5842120_300x300.jpg
1746,Staatliche Museen zu Berlin,Karyatide,,"Holz, geschnitzt und bemalt","Höhe x Breite x Tiefe: 16,4 x 6 x 4 cm",[SM8HF],https://id.smb.museum/object/1928538/karyatide,https://recherche.smb.museum/images/5142827_300x300.jpg,https://recherche.smb.museum/images/5142827_300x300.jpg
1747,Staatliche Museen zu Berlin,Stehender Buddha,,"Holz, geschnitzt, mit Spuren von Bemalung",Höhe x Breite x Tiefe: 21 x 6 x 3 cm,[SM8HF],https://id.smb.museum/object/1928536/stehender-buddha,https://recherche.smb.museum/images/5842513_300x300.jpg,https://recherche.smb.museum/images/5842513_300x300.jpg
1748,Staatliche Museen zu Berlin,Stehender Buddha,,"Holz, geschnitzt, mit Spuren von Bemalung","Höhe x Breite x Tiefe: 22,5 x 4,5 x 4 cm",[SM8HF],https://id.smb.museum/object/1928534/stehender-buddha,https://recherche.smb.museum/images/5842414_300x300.jpg,https://recherche.smb.museum/images/5842414_300x300.jpg
1749,Staatliche Museen zu Berlin,Stehender Buddha,8. Jh.?,"Holz, geschnitzt und mit Farbresten","Höhe x Breite x Tiefe: 31,2 x 8 x 4 cm",[SM8HF],https://id.smb.museum/object/1928533/stehender-buddha,https://recherche.smb.museum/images/5842176_300x300.jpg,https://recherche.smb.museum/images/5842176_300x300.jpg
1750,Staatliche Museen zu Berlin,Kleiner sitzender Buddha,6.-7. Jh.,"Holz, geschnitzt, mit Farbresten und Vergoldung","Höhe x Breite x Tiefe: 11,2 x 5,4 x 3,5 cm",[SM8HF],https://id.smb.museum/object/1928493/kleiner-sitzender-buddha,https://recherche.smb.museum/images/5842421_300x300.jpg,https://recherche.smb.museum/images/5842421_300x300.jpg
1751,Staatliche Museen zu Berlin,Kleiner Kopf,,"Holz, geschnitzt",Höhe x Breite x Tiefe: 6 x 5 x 3 cm,[SM8HF],https://id.smb.museum/object/1928492/kleiner-kopf,https://recherche.smb.museum/images/5844111_300x300.jpg,https://recherche.smb.museum/images/5844111_300x300.jpg
1752,Staatliche Museen zu Berlin,Stupa,,"Holz, geschnitzt","Höhe x Breite x Tiefe: 23,5 x 6,2 x 4 cm",[SM8HF],https://id.smb.museum/object/1928350/stupa,https://recherche.smb.museum/images/5842167_300x300.jpg,https://recherche.smb.museum/images/5842167_300x300.jpg
1753,Staatliche Museen zu Berlin,Buddhakopf,,"Holz, geschnitzt","Höhe x Breite x Tiefe: 5,5 x 4 x 3 cm",[SM8HF],https://id.smb.museum/object/1928348/buddhakopf,https://recherche.smb.museum/images/5842165_300x300.jpg,https://recherche.smb.museum/images/5842165_300x300.jpg
1754,Staatliche Museen zu Berlin,Figur eines Anbeters,,"Holz, mit Spuren von Bemalung","Höhe x Breite x Tiefe: 6,2 x 4,3 x 1,5 cm",[SM8HF],https://id.smb.museum/object/1928347/figur-eines-anbeters,https://recherche.smb.museum/images/5844108_300x300.jpg,https://recherche.smb.museum/images/5844108_300x300.jpg
1755,Staatliche Museen zu Berlin,Kopf grotesk,,"Holz, geschnitzt, mit Spuren von Bemalung","Höhe x Breite x Tiefe: 13 x 11,4 x 3,2 cm",[SM8HF],https://id.smb.museum/object/1928345/kopf-grotesk,https://recherche.smb.museum/images/5844003_300x300.jpg,https://recherche.smb.museum/images/5844003_300x300.jpg
1756,Staatliche Museen zu Berlin,Kamel,,"Holz, mit Farbresten","Höhe x Breite x Tiefe: 12,5 x 6 x 3,5 cm",[SM8HF],https://id.smb.museum/object/1928338/kamel,https://recherche.smb.museum/images/5843989_300x300.jpg,https://recherche.smb.museum/images/5843989_300x300.jpg
1757,Staatliche Museen zu Berlin,Stehender Buddha auf Lotus mit Mandorla,,"Holz, mit Spuren von Bemalung und Vergoldung","Höhe x Breite x Tiefe: 16,5 x 6,5 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1928226/stehender-buddha-auf-lotus-mit-mandorla,https://recherche.smb.museum/images/5842515_300x300.jpg,https://recherche.smb.museum/images/5842515_300x300.jpg
1758,Staatliche Museen zu Berlin,Sitzender Buddha auf hohem Thron,,"Holz, geschnitzt, mit Spuren von Bemalung","Höhe x Breite x Tiefe: 18 x 9,2 x 4 cm",[SM8HF],https://id.smb.museum/object/1928223/sitzender-buddha-auf-hohem-thron,https://recherche.smb.museum/images/5840443_300x300.jpg,https://recherche.smb.museum/images/5840443_300x300.jpg
1759,Staatliche Museen zu Berlin,Kopf mit Krone,,"Holz, geschnitzt","Höhe x Breite x Tiefe: 8 x 8 x 3,5 cm",[SM8HF],https://id.smb.museum/object/1928212/kopf-mit-krone,https://recherche.smb.museum/images/5844119_300x300.jpg,https://recherche.smb.museum/images/5844119_300x300.jpg
